,,,,,
,"CPI - Rural, Urban, Combined (All India)",,,,
,,,,,
,Base : 2012 = 100,,,,
,,,,,
,Month,Commodity Description,Provisional / Final,Combined,
,,,,Index,Inflation (%)
,AUG-2025,A.1) Food and beverages,Final,202.8,0.05
,AUG-2025,A.1.1) Cereals and products,Final,197.6,2.7
,AUG-2025,A.1.2) Meat and fish,Final,226.7,1.52
,AUG-2025,A.1.3) Egg,Final,194.9,3.12
,AUG-2025,A.1.4) Milk and products,Final,191.4,2.63
,AUG-2025,A.1.5) Oils and fats,Final,195.8,21.24
,AUG-2025,A.1.6) Fruits,Final,213.8,11.7
,AUG-2025,A.1.7) Vegetables,Final,219.2,-15.92
,AUG-2025,A.1.8) Pulses and products,Final,183.5,-14.53
,AUG-2025,A.1.9) Sugar and confectionery,Final,136.3,3.73
,AUG-2025,A.1.10) Spices,Final,220.7,-3.24
,AUG-2025,A.1.11) Non-alcoholic beverages,Final,186.9,4.3
,AUG-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,211.5,4.19
,AUG-2025,"A.2) Pan, tobacco and intoxicants",Final,213.7,2.49
,AUG-2025,A.3) Clothing and footwear,Final,197.3,2.33
,AUG-2025,A.3.1) Clothing,Final,198.8,2.42
,AUG-2025,A.3.2) Footwear,Final,188.6,2.06
,AUG-2025,A.4) Housing,Final,186.7,3.09
,AUG-2025,A.5) Fuel and light,Final,180.8,2.32
,AUG-2025,A.6) Miscellaneous,Final,193.6,5.05
,AUG-2025,A.6.1) Household goods and services,Final,185.5,2.54
,AUG-2025,A.6.2) Health,Final,204,4.4
,AUG-2025,A.6.3) Transport and communication,Final,173.7,1.94
,AUG-2025,A.6.4) Recreation and amusement,Final,180.9,2.2
,AUG-2025,A.6.5) Education,Final,195.5,3.6
,AUG-2025,A.6.6) Personal Care and Effects,Final,233.2,16.66
,AUG-2025,B) Consumer Food Price Index,Final,202.1,-0.64
,JUL-2025,A) General Index,Final,196.1,1.61
,JUL-2025,A.1) Food and beverages,Final,201.6,-0.84
,JUL-2025,A.1.1) Cereals and products,Final,197.1,3.03
,JUL-2025,A.1.2) Meat and fish,Final,229.3,-0.61
,JUL-2025,A.1.3) Egg,Final,198.6,2.21
,JUL-2025,A.1.4) Milk and products,Final,191,2.69
,JUL-2025,A.1.5) Oils and fats,Final,192.1,19.24
,JUL-2025,A.1.6) Fruits,Final,213.5,14.48
,JUL-2025,A.1.7) Vegetables,Final,212.1,-20.65
,JUL-2025,A.1.8) Pulses and products,Final,184.3,-13.76
,JUL-2025,A.1.9) Sugar and confectionery,Final,135.3,3.28
,JUL-2025,A.1.10) Spices,Final,220.8,-3.12
,JUL-2025,A.1.11) Non-alcoholic beverages,Final,186.6,4.6
